seqnames	start	end	width	strand	depth	quantiled_depth	GC	normed_depth	ref_depth
chr14	21538016	21538117	102	*	4	4	0.647058823529412	21	39.55
chr14	22377854	22377955	102	*	32	40	0.362745098039216	37	39.55
chr14	33692142	33692243	102	*	45	60	0.607843137254902	73	39.55
chr14	37319693	37319794	102	*	19	24	0.382352941176471	20	39.55
chr14	46174917	46175018	102	*	15	20	0.382352941176471	16	39.55
chr14	47922077	47922178	102	*	16	22	0.42156862745098	19	39.55
chr14	50869982	50870083	102	*	10	12	0.313725490196078	19	39.55
chr14	56958196	56958297	102	*	26	33	0.5	17	39.55
chr14	56959389	56959490	102	*	5	6	0.362745098039216	3	39.55
chr14	60591778	60591937	160	*	55	74	0.36875	71	39.55
chr14	68948067	68948168	102	*	10	12	0.401960784313726	8	39.55
chr14	71215329	71215430	102	*	31	39	0.450980392156863	26	39.55
chr14	73471206	73471307	102	*	98	188	0.480392156862745	169	39.55
chr14	75884932	75885033	102	*	22	27	0.470588235294118	9	39.55
chr14	78557873	78557974	102	*	68	85	0.529411764705882	81	39.55
chr14	79953763	79953864	102	*	16	22	0.411764705882353	19	39.55
chr14	80295708	80295809	102	*	47	64	0.382352941176471	60	39.55
chr14	84639965	84640066	102	*	4	4	0.343137254901961	5	39.55
chr14	85687362	85687463	102	*	27	34	0.333333333333333	38	39.55
chr14	86645056	86645157	102	*	58	76	0.333333333333333	80	39.55
chr16	11650006	11650107	102	*	19	24	0.549019607843137	29	29.4210526315789
chr16	11826790	11826891	102	*	34	44	0.411764705882353	41	29.4210526315789
chr16	16152161	16152262	102	*	36	47	0.343137254901961	48	29.4210526315789
chr16	17781499	17781600	102	*	27	34	0.46078431372549	19	29.4210526315789
chr16	20263095	20263196	102	*	14	19	0.450980392156863	6	29.4210526315789
chr16	28517658	28517759	102	*	21	26	0.558823529411765	33	29.4210526315789
chr16	30015286	30015387	102	*	7	8	0.637254901960784	24	29.4210526315789
chr16	52894127	52894228	102	*	5	6	0.264705882352941	20	29.4210526315789
chr16	54209785	54209886	102	*	16	22	0.333333333333333	26	29.4210526315789
chr16	55527062	55527163	102	*	10	12	0.607843137254902	25	29.4210526315789
chr16	57116407	57116508	102	*	25	31	0.57843137254902	41	29.4210526315789
chr16	60259218	60259319	102	*	12	15	0.411764705882353	12	29.4210526315789
chr16	61562630	61562731	102	*	20	25	0.450980392156863	12	29.4210526315789
chr16	62456430	62456531	102	*	36	47	0.42156862745098	44	29.4210526315789
chr16	77705217	77705318	102	*	40	53	0.313725490196078	60	29.4210526315789
