seqnames	start	end	width	strand	depth	quantiled_depth	GC	normed_depth	ref_depth
chr14	21538016	21538117	102	*	21	17	0.647058823529412	32	39.55
chr14	22377854	22377955	102	*	24	19	0.362745098039216	19	39.55
chr14	33692142	33692243	102	*	79	62	0.607843137254902	70	39.55
chr14	37319693	37319794	102	*	27	22	0.382352941176471	18	39.55
chr14	46174917	46175018	102	*	17	14	0.382352941176471	10	39.55
chr14	47922077	47922178	102	*	18	15	0.42156862745098	8	39.55
chr14	50869982	50870083	102	*	13	11	0.313725490196078	23	39.55
chr14	56958196	56958297	102	*	40	33	0.5	16	39.55
chr14	56959389	56959490	102	*	10	8	0.362745098039216	8	39.55
chr14	60591778	60591937	160	*	89	69	0.36875	67	39.55
chr14	68948067	68948168	102	*	11	10	0.401960784313726	3	39.55
chr14	71215329	71215430	102	*	47	39	0.450980392156863	30	39.55
chr14	73471206	73471307	102	*	102	85	0.480392156862745	69	39.55
chr14	75884932	75885033	102	*	30	24	0.470588235294118	10	39.55
chr14	78557873	78557974	102	*	107	88	0.529411764705882	77	39.55
chr14	79953763	79953864	102	*	34	28	0.411764705882353	21	39.55
chr14	80295708	80295809	102	*	58	47	0.382352941176471	43	39.55
chr14	85687362	85687463	102	*	27	22	0.333333333333333	30	39.55
chr14	86645056	86645157	102	*	43	36	0.333333333333333	44	39.55
chr16	11650006	11650107	102	*	29	23	0.549019607843137	18	29.4210526315789
chr16	11826790	11826891	102	*	30	24	0.411764705882353	17	29.4210526315789
chr16	16152161	16152262	102	*	26	20	0.343137254901961	25	29.4210526315789
chr16	17781499	17781600	102	*	57	46	0.46078431372549	35	29.4210526315789
chr16	20263095	20263196	102	*	25	20	0.450980392156863	11	29.4210526315789
chr16	28517658	28517759	102	*	37	31	0.558823529411765	28	29.4210526315789
chr16	30015286	30015387	102	*	6	5	0.637254901960784	19	29.4210526315789
chr16	52894127	52894228	102	*	3	4	0.264705882352941	17	29.4210526315789
chr16	54209785	54209886	102	*	33	28	0.333333333333333	36	29.4210526315789
chr16	55527062	55527163	102	*	30	24	0.607843137254902	32	29.4210526315789
chr16	57116407	57116508	102	*	32	27	0.57843137254902	28	29.4210526315789
chr16	60259218	60259319	102	*	28	22	0.411764705882353	15	29.4210526315789
chr16	61562630	61562731	102	*	27	22	0.450980392156863	13	29.4210526315789
chr16	62456430	62456531	102	*	64	51	0.42156862745098	44	29.4210526315789
chr16	77705217	77705318	102	*	58	47	0.313725490196078	59	29.4210526315789
chr16	82230341	82230442	102	*	22	18	0.382352941176471	14	29.4210526315789
chr16	84511337	84511438	102	*	24	19	0.57843137254902	20	29.4210526315789
chr16	84855912	84856013	102	*	47	39	0.441176470588235	31	29.4210526315789
chr16	84926769	84926870	102	*	7	6	0.588235294117647	10	29.4210526315789
chr17	4712706	4712807	102	*	10	8	0.627450980392157	20	37.1764705882353
chr17	7285780	7285881	102	*	278	188	0.5	171	37.1764705882353
chr17	8378881	8378982	102	*	37	31	0.343137254901961	36	37.1764705882353
chr17	18055178	18055279	102	*	15	12	0.627450980392157	24	37.1764705882353
chr17	30592154	30592255	102	*	58	47	0.42156862745098	40	37.1764705882353
chr17	38935761	38935862	102	*	71	58	0.529411764705882	47	37.1764705882353
chr17	43183057	43183158	102	*	42	34	0.509803921568627	17	37.1764705882353
chr17	46060790	46060891	102	*	22	18	0.607843137254902	26	37.1764705882353
chr17	48174857	48174958	102	*	24	19	0.607843137254902	27	37.1764705882353
chr17	48761054	48761155	102	*	48	40	0.647058823529412	55	37.1764705882353
chr17	55707777	55707878	102	*	17	14	0.53921568627451	7	37.1764705882353
chr17	57287403	57287504	102	*	24	19	0.617647058823529	29	37.1764705882353
chr17	57480644	57480745	102	*	90	70	0.401960784313726	63	37.1764705882353
chr17	67692311	67692412	102	*	53	44	0.372549019607843	42	37.1764705882353
chr17	69116179	69116280	102	*	22	18	0.441176470588235	10	37.1764705882353
chr17	69367260	69367361	102	*	38	32	0.470588235294118	18	37.1764705882353
chr17	70915548	70915649	102	*	66	53	0.450980392156863	44	37.1764705882353
chr17	71192612	71192713	102	*	30	24	0.509803921568627	7	37.1764705882353
chr18	4928520	4928621	102	*	7	6	0.313725490196078	18	29.9130434782609
chr18	8679771	8679872	102	*	32	27	0.549019607843137	22	29.9130434782609
chr18	11075609	11075710	102	*	58	47	0.392156862745098	41	29.9130434782609
chr18	21739674	21739775	102	*	81	64	0.441176470588235	56	29.9130434782609
chr18	23082362	23082463	102	*	29	23	0.323529411764706	33	29.9130434782609
chr18	24125633	24125734	102	*	17	14	0.372549019607843	12	29.9130434782609
chr18	24514663	24514764	102	*	47	39	0.362745098039216	39	29.9130434782609
chr18	25362170	25362271	102	*	18	15	0.323529411764706	25	29.9130434782609
chr18	31263750	31263851	102	*	18	15	0.343137254901961	20	29.9130434782609
chr18	32916111	32916269	159	*	45	38	0.389937106918239	33	29.9130434782609
chr18	34184042	34184143	102	*	48	40	0.568627450980392	39	29.9130434782609
chr18	39805487	39805588	102	*	31	26	0.313725490196078	38	29.9130434782609
chr18	42958341	42958442	102	*	30	24	0.352941176470588	26	29.9130434782609
chr18	43248458	43248559	102	*	67	56	0.431372549019608	49	29.9130434782609
chr18	47209092	47209193	102	*	79	62	0.549019607843137	57	29.9130434782609
chr18	47809820	47809921	102	*	93	75	0.598039215686274	81	29.9130434782609
chr18	55161418	55161519	102	*	56	46	0.372549019607843	44	29.9130434782609
chr18	55963457	55963558	102	*	55	45	0.509803921568627	28	29.9130434782609
chr18	57934116	57934217	102	*	28	22	0.343137254901961	27	29.9130434782609
chr18	59650666	59650767	102	*	37	31	0.372549019607843	29	29.9130434782609
chr18	60388772	60388873	102	*	40	33	0.245098039215686	44	29.9130434782609
chr18	63107118	63107219	102	*	93	75	0.450980392156863	66	29.9130434782609
chr18	69135718	69135819	102	*	14	12	0.323529411764706	22	29.9130434782609
